"Deep Learning Agent (50)","Deep Learning Agent (136)"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"100.0","0.0"
"100.0","0.0"
"100.0","0.0"
"99.0","0.0"
"98.0","0.0"
"97.0","0.0"
"96.0","0.0"
"96.0","0.0"
"96.0","0.0"
"96.0","0.0"
"96.0","0.0"
"96.0","0.0"
"96.0","0.0"
"196.0","0.0"
"195.0","0.0"
"295.0","0.0"
"294.0","0.0"
"293.0","0.0"
"292.0","0.0"
"291.0","0.0"
"290.0","0.0"
"289.0","0.0"
"288.0","0.0"
"388.0","-1.0"
"387.0","-2.0"
"386.0","-3.0"
"385.0","-4.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","-5.0"
"384.0","95.0"
"384.0","94.0"
"384.0","94.0"
"384.0","94.0"
"384.0","94.0"
"384.0","94.0"
"384.0","93.0"
"384.0","92.0"
"384.0","91.0"
"384.0","90.0"
"384.0","89.0"
"384.0","88.0"
"384.0","87.0"
"384.0","86.0"
"384.0","85.0"
"384.0","185.0"
"384.0","184.0"
"384.0","183.0"
"384.0","182.0"
"384.0","181.0"
"384.0","181.0"
