"Deep Learning Agent (50)","Deep Learning Agent (136)"
"-1.0","0.0"
"-2.0","100.0"
"-3.0","100.0"
"-4.0","200.0"
"-5.0","199.0"
"-6.0","299.0"
"-6.0","399.0"
"-6.0","398.0"
"-6.0","397.0"
"-6.0","396.0"
"-6.0","395.0"
"-6.0","394.0"
"-6.0","393.0"
"-7.0","393.0"
"-8.0","393.0"
"-9.0","393.0"
"-10.0","393.0"
"-11.0","393.0"
"-12.0","393.0"
"-13.0","393.0"
"-14.0","393.0"
"-15.0","393.0"
"-16.0","393.0"
"-17.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-18.0","393.0"
"-19.0","393.0"
"-20.0","393.0"
"-21.0","393.0"
"-22.0","393.0"
"-22.0","393.0"
"-22.0","393.0"
"-23.0","393.0"
"-24.0","393.0"
"-25.0","393.0"
"-26.0","393.0"
"-26.0","393.0"
"-26.0","393.0"
"-26.0","393.0"
"-26.0","393.0"
"-26.0","392.0"
"-26.0","391.0"
"-26.0","390.0"
"-26.0","490.0"
"-26.0","490.0"
"-26.0","490.0"
"-26.0","490.0"
"-26.0","490.0"
"-26.0","590.0"
"-26.0","590.0"
"-26.0","590.0"
"-26.0","590.0"
"-26.0","690.0"
"-26.0","690.0"
"-26.0","690.0"
"-26.0","690.0"
"-26.0","689.0"
"-26.0","688.0"
"-26.0","687.0"
"-26.0","687.0"
"-26.0","687.0"
"-26.0","687.0"
"-26.0","687.0"
"-26.0","687.0"
"-26.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","687.0"
"-27.0","686.0"
"-27.0","786.0"
"-27.0","785.0"
"-27.0","784.0"
"-27.0","783.0"
"-27.0","782.0"
"-27.0","781.0"
"-27.0","780.0"
"-27.0","880.0"
"-27.0","879.0"
"-27.0","878.0"
"-27.0","877.0"
"-27.0","876.0"
"-27.0","875.0"
"-27.0","874.0"
"-27.0","873.0"
"-27.0","872.0"
"-27.0","871.0"
"-27.0","870.0"
