"Deep Learning Agent (50)","Deep Learning Agent (136)"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"-1.0","0.0"
"-2.0","0.0"
"-3.0","0.0"
"-4.0","0.0"
"-5.0","0.0"
"-6.0","0.0"
"-7.0","0.0"
"-8.0","0.0"
"-9.0","0.0"
"-10.0","0.0"
"-11.0","0.0"
"-12.0","0.0"
"-13.0","0.0"
"-14.0","0.0"
"-15.0","0.0"
"-16.0","0.0"
"-17.0","0.0"
"-18.0","0.0"
"-19.0","0.0"
"-20.0","0.0"
"-21.0","0.0"
"-22.0","0.0"
"-23.0","0.0"
"-24.0","0.0"
"-25.0","0.0"
"-26.0","0.0"
"-27.0","0.0"
"-28.0","0.0"
"-29.0","0.0"
"-30.0","0.0"
"-31.0","0.0"
"-32.0","0.0"
"-33.0","0.0"
"-34.0","0.0"
"-35.0","0.0"
"-36.0","0.0"
"-37.0","0.0"
"-38.0","0.0"
"-39.0","0.0"
"-40.0","0.0"
"-41.0","0.0"
"-42.0","0.0"
"-43.0","0.0"
"-44.0","0.0"
"-45.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","0.0"
"-46.0","100.0"
"-46.0","99.0"
"-46.0","98.0"
"-46.0","198.0"
"-46.0","197.0"
"-46.0","196.0"
"-46.0","195.0"
"-46.0","295.0"
"-46.0","294.0"
"-46.0","293.0"
"-46.0","393.0"
"-46.0","392.0"
"-46.0","391.0"
"-46.0","390.0"
"-46.0","389.0"
"-46.0","388.0"
"-46.0","387.0"
"-46.0","386.0"
"-46.0","385.0"
"-46.0","384.0"
"-46.0","383.0"
"-46.0","382.0"
"-46.0","381.0"
"-46.0","380.0"
"-46.0","379.0"
"-46.0","378.0"
"-46.0","377.0"
"-46.0","376.0"
"-46.0","375.0"
"-46.0","374.0"
"-46.0","373.0"
"-46.0","372.0"
"-46.0","472.0"
"-46.0","471.0"
