"Deep Learning Agent (50)","Deep Learning Agent (136)"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"-1.0","0.0"
"-2.0","0.0"
"-3.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-4.0","0.0"
"-5.0","0.0"
"-5.0","0.0"
"-5.0","0.0"
"-6.0","0.0"
"-7.0","0.0"
"-8.0","0.0"
"-9.0","0.0"
"-9.0","0.0"
"-9.0","0.0"
"-9.0","0.0"
"-9.0","-1.0"
"-9.0","-2.0"
"-9.0","-3.0"
"-10.0","-4.0"
"-11.0","-5.0"
"-12.0","-6.0"
"-13.0","-7.0"
"-14.0","-8.0"
"-15.0","-9.0"
"-16.0","-10.0"
"-17.0","-11.0"
"-18.0","-12.0"
"-19.0","-13.0"
"-20.0","-14.0"
"-21.0","-15.0"
"-22.0","-16.0"
"-23.0","-17.0"
"-24.0","-18.0"
"-25.0","-19.0"
"-26.0","-20.0"
"-27.0","-21.0"
"-28.0","-22.0"
"-29.0","78.0"
"-30.0","77.0"
"-31.0","76.0"
"-32.0","75.0"
"-33.0","74.0"
"-34.0","73.0"
"-35.0","173.0"
"-36.0","172.0"
"-37.0","171.0"
"-38.0","271.0"
"-39.0","270.0"
"-40.0","269.0"
"-41.0","268.0"
"-42.0","267.0"
"-43.0","266.0"
"-44.0","366.0"
"-45.0","365.0"
"-46.0","364.0"
"-47.0","363.0"
"-48.0","362.0"
"-49.0","361.0"
"-50.0","360.0"
"-51.0","359.0"
"-52.0","358.0"
"-53.0","357.0"
"-54.0","356.0"
"-55.0","355.0"
