"Deep Learning Agent (0)","Deep Learning Agent (136)"
"-1.0","0.0"
"-2.0","0.0"
"-3.0","0.0"
"-4.0","0.0"
"-5.0","0.0"
"-6.0","0.0"
"-7.0","0.0"
"-8.0","0.0"
"-9.0","0.0"
"-10.0","0.0"
"-11.0","0.0"
"-12.0","0.0"
"-13.0","0.0"
"-14.0","0.0"
"-15.0","0.0"
"-16.0","0.0"
"-17.0","0.0"
"-18.0","0.0"
"-19.0","0.0"
"-20.0","0.0"
"-21.0","0.0"
"-22.0","-1.0"
"-23.0","-2.0"
"-24.0","-3.0"
"-25.0","-4.0"
"-26.0","-5.0"
"-27.0","-6.0"
"-28.0","-7.0"
"-29.0","-8.0"
"-30.0","-9.0"
"-31.0","-10.0"
"-32.0","-11.0"
"-33.0","-12.0"
"-34.0","-13.0"
"-35.0","-14.0"
"-36.0","-15.0"
"-37.0","-16.0"
"-38.0","-17.0"
"-39.0","-18.0"
"-40.0","-19.0"
"-41.0","-20.0"
"-42.0","-21.0"
"-43.0","79.0"
"-44.0","78.0"
"-45.0","77.0"
"-46.0","76.0"
"-47.0","75.0"
"-48.0","175.0"
"-49.0","174.0"
"-50.0","173.0"
"-51.0","172.0"
"-52.0","171.0"
"-53.0","170.0"
"-54.0","169.0"
"-55.0","168.0"
"-56.0","167.0"
"-57.0","267.0"
"-58.0","266.0"
"-59.0","366.0"
"-60.0","365.0"
"-61.0","364.0"
"-62.0","363.0"
"-63.0","362.0"
"-64.0","361.0"
"-65.0","360.0"
"-66.0","359.0"
"-67.0","358.0"
"-68.0","357.0"
"-69.0","356.0"
"-70.0","355.0"
"-71.0","354.0"
"-72.0","353.0"
"-73.0","352.0"
"-74.0","351.0"
"-75.0","350.0"
"-76.0","349.0"
"-77.0","348.0"
"-78.0","347.0"
"-79.0","346.0"
"-80.0","345.0"
"-81.0","344.0"
"-82.0","343.0"
"-83.0","342.0"
"-84.0","341.0"
"-85.0","340.0"
"-86.0","339.0"
"-87.0","439.0"
"-88.0","438.0"
"-89.0","437.0"
"-90.0","436.0"
"-91.0","435.0"
"-92.0","434.0"
"-93.0","433.0"
