"Deep Learning Agent (0)","Deep Learning Agent (136)"
"-1.0","0.0"
"-2.0","0.0"
"-3.0","0.0"
"-4.0","0.0"
"-5.0","0.0"
"-6.0","0.0"
"-7.0","0.0"
"-8.0","0.0"
"-9.0","-1.0"
"-10.0","99.0"
"-11.0","98.0"
"-12.0","198.0"
"-13.0","198.0"
"-14.0","298.0"
"-15.0","297.0"
"-16.0","296.0"
"-17.0","296.0"
"-18.0","296.0"
"-19.0","296.0"
"-20.0","296.0"
"-21.0","296.0"
"-22.0","296.0"
"-23.0","296.0"
"-24.0","296.0"
"-25.0","296.0"
"-26.0","296.0"
"-27.0","296.0"
"-28.0","296.0"
"-29.0","296.0"
"-30.0","296.0"
"-31.0","396.0"
"-32.0","395.0"
"-33.0","395.0"
"-34.0","495.0"
"-35.0","494.0"
"-36.0","493.0"
"-37.0","593.0"
"-38.0","592.0"
"-39.0","591.0"
"-40.0","590.0"
"-41.0","589.0"
"-42.0","588.0"
"-43.0","587.0"
"-44.0","587.0"
"-45.0","587.0"
"-46.0","587.0"
"-47.0","687.0"
"-48.0","687.0"
"-49.0","687.0"
"-50.0","687.0"
"-51.0","687.0"
"-52.0","687.0"
"-53.0","687.0"
"-54.0","687.0"
"-55.0","687.0"
"-56.0","687.0"
"-57.0","687.0"
"-58.0","687.0"
"-59.0","687.0"
"-60.0","687.0"
"-61.0","687.0"
"-62.0","687.0"
"-63.0","686.0"
"-64.0","685.0"
"-65.0","684.0"
"-66.0","683.0"
"-67.0","682.0"
"-68.0","682.0"
"-69.0","782.0"
"-70.0","782.0"
"-71.0","782.0"
"-72.0","781.0"
"-73.0","780.0"
"-74.0","779.0"
"-75.0","779.0"
"-76.0","779.0"
"-77.0","779.0"
"-78.0","779.0"
"-79.0","779.0"
"-80.0","779.0"
"-81.0","779.0"
"-82.0","778.0"
"-83.0","778.0"
"-84.0","778.0"
"-85.0","778.0"
"-86.0","778.0"
"-87.0","778.0"
"-88.0","778.0"
"-89.0","778.0"
"-90.0","778.0"
"-91.0","778.0"
"-92.0","778.0"
"-93.0","778.0"
"-94.0","778.0"
"-95.0","778.0"
