"Deep Learning Agent (0)","Deep Learning Agent (136)"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","0.0"
"0.0","-1.0"
"0.0","-2.0"
"0.0","-3.0"
"0.0","-4.0"
"0.0","96.0"
"0.0","95.0"
"0.0","94.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","93.0"
"0.0","92.0"
"0.0","91.0"
"0.0","90.0"
"0.0","89.0"
"0.0","88.0"
"0.0","87.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","86.0"
"0.0","85.0"
"0.0","84.0"
"0.0","83.0"
"0.0","82.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","81.0"
"0.0","80.0"
"0.0","79.0"
"0.0","79.0"
"0.0","78.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
"0.0","77.0"
