"Reactive Agent","Reactive Agent"
"-284.0","827.0"
"-285.0","826.0"
"-286.0","825.0"
"-287.0","824.0"
"-288.0","823.0"
"-289.0","822.0"
"-290.0","821.0"
"-291.0","820.0"
"-292.0","819.0"
"-293.0","818.0"
"-294.0","817.0"
"-295.0","816.0"
"-296.0","815.0"
"-297.0","814.0"
"-298.0","813.0"
"-299.0","812.0"
"-300.0","811.0"
"-301.0","810.0"
"-302.0","809.0"
"-303.0","808.0"
"-304.0","807.0"
"-305.0","806.0"
"-306.0","805.0"
"-307.0","804.0"
"-308.0","803.0"
"-309.0","802.0"
"-310.0","801.0"
"-311.0","800.0"
"-312.0","799.0"
"-313.0","798.0"
"-314.0","797.0"
"-315.0","796.0"
"-316.0","795.0"
"-317.0","794.0"
"-318.0","793.0"
"-319.0","792.0"
"-320.0","791.0"
"-321.0","790.0"
"-322.0","789.0"
"-323.0","788.0"
"-324.0","787.0"
"-325.0","786.0"
"-326.0","785.0"
"-327.0","784.0"
"-328.0","783.0"
"-329.0","782.0"
"-330.0","781.0"
"-331.0","780.0"
"-332.0","779.0"
"-333.0","778.0"
"-334.0","777.0"
"-335.0","776.0"
"-336.0","775.0"
"-337.0","774.0"
"-338.0","773.0"
"-339.0","772.0"
"-340.0","771.0"
"-341.0","770.0"
"-342.0","769.0"
"-343.0","768.0"
"-344.0","767.0"
"-345.0","766.0"
"-346.0","765.0"
"-347.0","764.0"
"-348.0","763.0"
"-349.0","762.0"
"-350.0","761.0"
"-351.0","760.0"
"-352.0","759.0"
"-353.0","758.0"
"-354.0","757.0"
"-355.0","756.0"
"-356.0","755.0"
"-357.0","754.0"
"-358.0","753.0"
"-359.0","752.0"
"-360.0","751.0"
"-361.0","750.0"
"-362.0","749.0"
"-363.0","748.0"
"-364.0","747.0"
"-365.0","746.0"
"-366.0","745.0"
"-367.0","744.0"
"-368.0","743.0"
"-369.0","742.0"
"-370.0","741.0"
"-371.0","740.0"
"-372.0","739.0"
"-373.0","738.0"
"-374.0","737.0"
"-375.0","736.0"
"-376.0","735.0"
"-377.0","734.0"
"-378.0","733.0"
"-379.0","732.0"
"-380.0","731.0"
"-381.0","730.0"
"-382.0","729.0"
"-383.0","728.0"
"-384.0","727.0"
"-385.0","726.0"
"-386.0","725.0"
"-387.0","724.0"
"-388.0","723.0"
"-389.0","722.0"
"-390.0","721.0"
"-391.0","720.0"
"-392.0","719.0"
"-393.0","718.0"
"-394.0","717.0"
"-395.0","716.0"
"-396.0","715.0"
"-397.0","714.0"
"-398.0","713.0"
"-399.0","712.0"
"-400.0","711.0"
"-401.0","710.0"
"-402.0","709.0"
"-403.0","708.0"
"-404.0","707.0"
"-405.0","706.0"
"-406.0","705.0"
"-407.0","704.0"
"-408.0","703.0"
"-409.0","803.0"
"-410.0","802.0"
"-411.0","801.0"
"-412.0","800.0"
"-413.0","799.0"
"-414.0","798.0"
"-415.0","797.0"
"-416.0","897.0"
"-417.0","896.0"
"-418.0","895.0"
"-419.0","894.0"
"-420.0","893.0"
"-421.0","892.0"
"-422.0","891.0"
"-423.0","890.0"
"-424.0","889.0"
"-425.0","888.0"
"-426.0","887.0"
"-427.0","886.0"
"-428.0","885.0"
"-429.0","884.0"
"-430.0","883.0"
"-431.0","882.0"
"-432.0","881.0"
"-433.0","880.0"
"-434.0","879.0"
"-435.0","878.0"
"-436.0","877.0"
"-437.0","876.0"
"-438.0","875.0"
"-439.0","874.0"
"-440.0","873.0"
"-441.0","872.0"
"-442.0","871.0"
"-443.0","870.0"
"-444.0","869.0"
"-445.0","868.0"
"-446.0","867.0"
"-447.0","866.0"
"-448.0","865.0"
"-449.0","864.0"
"-450.0","863.0"
"-451.0","862.0"
"-452.0","861.0"
"-453.0","860.0"
"-454.0","859.0"
"-455.0","858.0"
"-456.0","857.0"
"-457.0","856.0"
"-458.0","855.0"
"-459.0","854.0"
"-460.0","853.0"
"-461.0","852.0"
"-462.0","851.0"
"-463.0","850.0"
"-464.0","950.0"
"-465.0","949.0"
"-466.0","948.0"
"-467.0","947.0"
"-468.0","946.0"
"-469.0","945.0"
"-470.0","1045.0"
"-471.0","1044.0"
"-472.0","1043.0"
"-473.0","1042.0"
"-474.0","1041.0"
"-475.0","1040.0"
"-476.0","1039.0"
"-477.0","1038.0"
"-478.0","1037.0"
"-479.0","1036.0"
"-480.0","1035.0"
"-481.0","1034.0"
"-482.0","1033.0"
"-483.0","1032.0"
"-484.0","1031.0"
"-485.0","1030.0"
"-486.0","1029.0"
"-487.0","1028.0"
"-488.0","1027.0"
"-489.0","1026.0"
"-490.0","1025.0"
"-491.0","1024.0"
"-492.0","1023.0"
"-493.0","1022.0"
"-494.0","1021.0"
"-495.0","1020.0"
"-496.0","1019.0"
"-497.0","1018.0"
"-498.0","1017.0"
"-499.0","1016.0"
"-500.0","1015.0"
"-501.0","1014.0"
"-502.0","1013.0"
"-503.0","1012.0"
"-504.0","1011.0"
"-505.0","1010.0"
"-506.0","1009.0"
"-507.0","1109.0"
"-508.0","1108.0"
"-509.0","1107.0"
"-510.0","1207.0"
"-511.0","1206.0"
"-512.0","1205.0"
"-513.0","1204.0"
"-514.0","1203.0"
"-515.0","1202.0"
"-516.0","1201.0"
"-517.0","1200.0"
"-518.0","1199.0"
"-519.0","1198.0"
"-520.0","1197.0"
"-521.0","1196.0"
"-522.0","1195.0"
"-523.0","1295.0"
"-524.0","1294.0"
"-525.0","1293.0"
"-526.0","1292.0"
"-527.0","1291.0"
"-528.0","1290.0"
"-529.0","1289.0"
"-530.0","1389.0"
"-531.0","1388.0"
"-532.0","1387.0"
"-533.0","1386.0"
"-534.0","1385.0"
"-535.0","1384.0"
"-536.0","1383.0"
"-537.0","1382.0"
"-538.0","1381.0"
"-539.0","1380.0"
"-540.0","1379.0"
"-541.0","1378.0"
"-542.0","1377.0"
"-543.0","1376.0"
"-544.0","1375.0"
"-545.0","1374.0"
"-546.0","1373.0"
"-547.0","1372.0"
"-548.0","1371.0"
"-549.0","1370.0"
"-550.0","1369.0"
"-551.0","1368.0"
"-552.0","1367.0"
"-553.0","1366.0"
"-554.0","1365.0"
"-555.0","1364.0"
"-556.0","1363.0"
"-557.0","1362.0"
"-558.0","1361.0"
"-559.0","1360.0"
"-560.0","1359.0"
"-561.0","1358.0"
"-562.0","1357.0"
"-563.0","1356.0"
"-564.0","1355.0"
"-565.0","1354.0"
"-566.0","1353.0"
"-567.0","1352.0"
"-568.0","1351.0"
"-569.0","1350.0"
"-570.0","1349.0"
"-571.0","1348.0"
"-572.0","1347.0"
"-573.0","1346.0"
"-574.0","1345.0"
"-575.0","1344.0"
"-576.0","1343.0"
"-577.0","1342.0"
"-578.0","1341.0"
"-579.0","1340.0"
"-580.0","1339.0"
"-581.0","1338.0"
"-582.0","1337.0"
"-583.0","1336.0"
"-584.0","1335.0"
"-585.0","1334.0"
"-586.0","1333.0"
"-587.0","1332.0"
"-588.0","1331.0"
"-589.0","1330.0"
"-590.0","1329.0"
"-591.0","1328.0"
"-592.0","1327.0"
"-593.0","1326.0"
"-594.0","1325.0"
"-595.0","1324.0"
"-596.0","1323.0"
"-597.0","1322.0"
"-598.0","1321.0"
"-599.0","1320.0"
"-600.0","1319.0"
"-601.0","1318.0"
"-602.0","1317.0"
"-603.0","1316.0"
"-604.0","1315.0"
"-605.0","1314.0"
"-606.0","1313.0"
"-607.0","1312.0"
"-608.0","1311.0"
"-609.0","1310.0"
"-610.0","1309.0"
"-611.0","1308.0"
"-612.0","1307.0"
"-613.0","1306.0"
"-614.0","1305.0"
"-615.0","1304.0"
"-616.0","1303.0"
"-617.0","1302.0"
"-618.0","1301.0"
"-619.0","1300.0"
"-620.0","1299.0"
"-621.0","1298.0"
"-622.0","1297.0"
"-623.0","1296.0"
"-624.0","1295.0"
"-625.0","1294.0"
"-626.0","1293.0"
"-627.0","1292.0"
"-628.0","1291.0"
"-629.0","1290.0"
"-630.0","1289.0"
"-631.0","1288.0"
"-632.0","1287.0"
"-633.0","1286.0"
"-634.0","1285.0"
"-635.0","1284.0"
"-636.0","1283.0"
"-637.0","1282.0"
"-638.0","1281.0"
"-639.0","1280.0"
"-640.0","1279.0"
"-641.0","1278.0"
"-642.0","1277.0"
"-643.0","1276.0"
"-644.0","1275.0"
"-645.0","1274.0"
"-646.0","1273.0"
"-647.0","1272.0"
"-648.0","1271.0"
"-649.0","1270.0"
"-650.0","1269.0"
"-651.0","1268.0"
"-652.0","1267.0"
"-653.0","1266.0"
"-654.0","1265.0"
"-655.0","1264.0"
"-656.0","1263.0"
"-657.0","1262.0"
"-658.0","1261.0"
"-659.0","1361.0"
"-660.0","1360.0"
"-661.0","1359.0"
"-662.0","1459.0"
"-663.0","1458.0"
"-664.0","1457.0"
"-665.0","1456.0"
"-666.0","1455.0"
"-667.0","1454.0"
"-668.0","1554.0"
"-669.0","1553.0"
"-670.0","1552.0"
"-671.0","1551.0"
"-672.0","1550.0"
"-673.0","1549.0"
"-674.0","1548.0"
"-675.0","1547.0"
"-676.0","1546.0"
"-677.0","1545.0"
"-678.0","1544.0"
"-679.0","1543.0"
"-680.0","1542.0"
"-681.0","1541.0"
"-682.0","1540.0"
"-683.0","1539.0"
"-684.0","1538.0"
"-685.0","1537.0"
"-686.0","1536.0"
"-687.0","1535.0"
"-688.0","1534.0"
"-689.0","1533.0"
"-690.0","1532.0"
"-691.0","1531.0"
"-692.0","1530.0"
"-693.0","1529.0"
"-694.0","1528.0"
"-695.0","1527.0"
"-696.0","1526.0"
"-697.0","1525.0"
"-698.0","1524.0"
"-699.0","1523.0"
"-700.0","1522.0"
"-701.0","1521.0"
"-702.0","1520.0"
"-703.0","1519.0"
"-704.0","1518.0"
"-705.0","1517.0"
"-706.0","1516.0"
"-707.0","1515.0"
"-708.0","1514.0"
