"Reactive Agent","Deep Learning Agent"
"-1.0","0.0"
"-2.0","0.0"
"-3.0","0.0"
"-4.0","0.0"
"-5.0","0.0"
"-6.0","0.0"
"-7.0","0.0"
"-8.0","0.0"
"-9.0","0.0"
"-10.0","0.0"
"-11.0","0.0"
"-12.0","0.0"
"-13.0","0.0"
"-14.0","0.0"
"-15.0","0.0"
"-16.0","0.0"
"-17.0","0.0"
"-18.0","0.0"
"-19.0","0.0"
"-20.0","0.0"
"-21.0","0.0"
"-22.0","0.0"
"-23.0","0.0"
"-24.0","0.0"
"-25.0","0.0"
"-26.0","0.0"
"-27.0","0.0"
"-28.0","0.0"
"-29.0","0.0"
"-30.0","0.0"
"-31.0","0.0"
"-32.0","0.0"
"-33.0","0.0"
"-34.0","0.0"
"-35.0","0.0"
"-36.0","0.0"
"-37.0","0.0"
"-38.0","0.0"
"-39.0","0.0"
"-40.0","0.0"
"-41.0","0.0"
"-42.0","0.0"
"-43.0","0.0"
"-44.0","0.0"
"-45.0","0.0"
"-46.0","0.0"
"-47.0","0.0"
"-48.0","0.0"
"-49.0","0.0"
"-50.0","0.0"
"-51.0","0.0"
"-52.0","0.0"
"-53.0","0.0"
"-54.0","0.0"
"-55.0","0.0"
"-56.0","0.0"
"-57.0","0.0"
"43.0","0.0"
"42.0","0.0"
"41.0","0.0"
"40.0","0.0"
"39.0","0.0"
"139.0","0.0"
"239.0","0.0"
"238.0","0.0"
"237.0","0.0"
"236.0","0.0"
"235.0","0.0"
"234.0","0.0"
"233.0","0.0"
"232.0","0.0"
"231.0","0.0"
"230.0","0.0"
"330.0","-1.0"
"329.0","-2.0"
"429.0","-3.0"
"428.0","-4.0"
"427.0","-5.0"
"426.0","-6.0"
"425.0","-7.0"
"424.0","-8.0"
"423.0","-9.0"
"422.0","-10.0"
"421.0","-11.0"
"420.0","-12.0"
"419.0","-12.0"
"418.0","-12.0"
"417.0","-12.0"
"416.0","-12.0"
"415.0","-12.0"
"414.0","-12.0"
"413.0","-12.0"
"412.0","-12.0"
"411.0","-12.0"
"410.0","-12.0"
"409.0","-12.0"
"408.0","-12.0"
