"Reactive Agent","Deep Learning Agent"
"407.0","-12.0"
"406.0","-12.0"
"405.0","-12.0"
"404.0","-12.0"
"403.0","-12.0"
"402.0","-12.0"
"401.0","-12.0"
"400.0","-12.0"
"399.0","-12.0"
"398.0","-12.0"
"397.0","-12.0"
"396.0","-12.0"
"395.0","-12.0"
"394.0","-12.0"
"393.0","-12.0"
"392.0","-12.0"
"391.0","-12.0"
"390.0","-13.0"
"389.0","-13.0"
"388.0","-13.0"
"387.0","-13.0"
"386.0","-13.0"
"385.0","-13.0"
"384.0","-13.0"
"383.0","-13.0"
"382.0","-13.0"
"381.0","-13.0"
"380.0","-14.0"
"379.0","-15.0"
"378.0","-15.0"
"377.0","-15.0"
"376.0","-15.0"
"375.0","-15.0"
"374.0","-15.0"
"373.0","-15.0"
"372.0","-15.0"
"371.0","-15.0"
"370.0","-15.0"
"369.0","-15.0"
"368.0","-15.0"
"367.0","-15.0"
"366.0","-15.0"
"365.0","-15.0"
"364.0","-15.0"
"363.0","-15.0"
"362.0","-15.0"
"361.0","-15.0"
"360.0","-15.0"
"359.0","-15.0"
"358.0","-15.0"
"357.0","-15.0"
"356.0","-15.0"
"355.0","-15.0"
"354.0","-15.0"
"353.0","-15.0"
"352.0","-15.0"
"351.0","-15.0"
"350.0","-15.0"
"349.0","-15.0"
"348.0","-15.0"
"347.0","-15.0"
"346.0","-15.0"
"345.0","-15.0"
"344.0","-15.0"
"343.0","-15.0"
"342.0","-15.0"
"341.0","-16.0"
"340.0","84.0"
"339.0","83.0"
"338.0","82.0"
"337.0","81.0"
"336.0","80.0"
"335.0","79.0"
"334.0","78.0"
"333.0","77.0"
"332.0","76.0"
"331.0","176.0"
"330.0","175.0"
"329.0","174.0"
"328.0","173.0"
"327.0","273.0"
"326.0","373.0"
"325.0","372.0"
"324.0","371.0"
"323.0","370.0"
"322.0","369.0"
"321.0","368.0"
"320.0","468.0"
"319.0","467.0"
"318.0","466.0"
"317.0","465.0"
"316.0","464.0"
"315.0","463.0"
"314.0","462.0"
"313.0","461.0"
"312.0","460.0"
"311.0","459.0"
"310.0","459.0"
"309.0","459.0"
"308.0","459.0"
"307.0","459.0"
"306.0","459.0"
"305.0","459.0"
"304.0","459.0"
"303.0","459.0"
"302.0","459.0"
"301.0","459.0"
"300.0","459.0"
"299.0","459.0"
"298.0","459.0"
"297.0","459.0"
"296.0","459.0"
"295.0","459.0"
"294.0","459.0"
"293.0","459.0"
"292.0","459.0"
"291.0","459.0"
"290.0","459.0"
"289.0","459.0"
"288.0","459.0"
"287.0","459.0"
"286.0","459.0"
"285.0","459.0"
"284.0","459.0"
"283.0","459.0"
"282.0","459.0"
"281.0","459.0"
"280.0","459.0"
"279.0","459.0"
"278.0","459.0"
"277.0","459.0"
"276.0","459.0"
"275.0","459.0"
"274.0","459.0"
"273.0","459.0"
"272.0","459.0"
"271.0","459.0"
"270.0","459.0"
"269.0","459.0"
"268.0","459.0"
"267.0","459.0"
"266.0","459.0"
"265.0","459.0"
"264.0","459.0"
"263.0","459.0"
"262.0","459.0"
"261.0","459.0"
"260.0","459.0"
"259.0","459.0"
"258.0","459.0"
"257.0","459.0"
"256.0","459.0"
"255.0","459.0"
"254.0","459.0"
"253.0","459.0"
"252.0","459.0"
"251.0","459.0"
"250.0","459.0"
"249.0","459.0"
"248.0","459.0"
"247.0","459.0"
"246.0","459.0"
"245.0","459.0"
"244.0","459.0"
"243.0","459.0"
"242.0","459.0"
"241.0","459.0"
"240.0","459.0"
"239.0","459.0"
"238.0","459.0"
"237.0","459.0"
"236.0","459.0"
"235.0","459.0"
"234.0","459.0"
"233.0","459.0"
"232.0","459.0"
"231.0","459.0"
"230.0","459.0"
"229.0","459.0"
"228.0","459.0"
"227.0","459.0"
"226.0","459.0"
"326.0","459.0"
"325.0","459.0"
"324.0","459.0"
"323.0","459.0"
"322.0","459.0"
"321.0","459.0"
"320.0","459.0"
"319.0","459.0"
"318.0","459.0"
"317.0","459.0"
"316.0","459.0"
"315.0","459.0"
"314.0","459.0"
"313.0","459.0"
"312.0","459.0"
"311.0","459.0"
"310.0","459.0"
"410.0","459.0"
"409.0","459.0"
"408.0","459.0"
"407.0","459.0"
"406.0","459.0"
"405.0","459.0"
"404.0","459.0"
"403.0","459.0"
"402.0","459.0"
"401.0","459.0"
"400.0","459.0"
"399.0","459.0"
"398.0","459.0"
"397.0","459.0"
"396.0","459.0"
"395.0","459.0"
"394.0","459.0"
"393.0","459.0"
"392.0","459.0"
"391.0","459.0"
"390.0","459.0"
"389.0","459.0"
"388.0","459.0"
"387.0","459.0"
"386.0","459.0"
"385.0","459.0"
"384.0","459.0"
"383.0","459.0"
"382.0","459.0"
"381.0","459.0"
"380.0","459.0"
"379.0","459.0"
"378.0","459.0"
"377.0","459.0"
"376.0","459.0"
"375.0","459.0"
"374.0","459.0"
"373.0","459.0"
"372.0","459.0"
"371.0","459.0"
"370.0","459.0"
"369.0","459.0"
"368.0","459.0"
"367.0","459.0"
"366.0","459.0"
"365.0","459.0"
"364.0","459.0"
"363.0","459.0"
"362.0","459.0"
"361.0","459.0"
"360.0","459.0"
"359.0","459.0"
"358.0","459.0"
"357.0","459.0"
"356.0","459.0"
"355.0","459.0"
"354.0","459.0"
"353.0","459.0"
"352.0","459.0"
"351.0","459.0"
"350.0","459.0"
"349.0","459.0"
"348.0","459.0"
"347.0","459.0"
"346.0","459.0"
"345.0","459.0"
"344.0","459.0"
"343.0","459.0"
"342.0","459.0"
"341.0","459.0"
"340.0","459.0"
"339.0","459.0"
"338.0","459.0"
"337.0","559.0"
"336.0","559.0"
"335.0","659.0"
"334.0","659.0"
"333.0","659.0"
"332.0","659.0"
"331.0","659.0"
"330.0","659.0"
"329.0","659.0"
"328.0","659.0"
"327.0","659.0"
"326.0","659.0"
"325.0","659.0"
"324.0","659.0"
"323.0","659.0"
"322.0","659.0"
"321.0","659.0"
"320.0","659.0"
"319.0","659.0"
"318.0","659.0"
"317.0","659.0"
"316.0","659.0"
"315.0","659.0"
"314.0","659.0"
"313.0","659.0"
"312.0","659.0"
"311.0","659.0"
"310.0","659.0"
"309.0","659.0"
"308.0","659.0"
"307.0","659.0"
"306.0","659.0"
"305.0","659.0"
"304.0","659.0"
"303.0","659.0"
"302.0","659.0"
"301.0","659.0"
"300.0","659.0"
"299.0","659.0"
"298.0","659.0"
"297.0","659.0"
"296.0","659.0"
"295.0","659.0"
"294.0","659.0"
"293.0","659.0"
"292.0","659.0"
"291.0","659.0"
"290.0","659.0"
"289.0","659.0"
"288.0","659.0"
"287.0","659.0"
"286.0","659.0"
"285.0","659.0"
"284.0","659.0"
"283.0","659.0"
"282.0","659.0"
"281.0","659.0"
"280.0","659.0"
"279.0","659.0"
"278.0","659.0"
"277.0","659.0"
"276.0","659.0"
"275.0","659.0"
"274.0","659.0"
"273.0","659.0"
"272.0","659.0"
"271.0","659.0"
"270.0","659.0"
"269.0","659.0"
"268.0","659.0"
"267.0","659.0"
"266.0","659.0"
"265.0","659.0"
"264.0","659.0"
"263.0","659.0"
"262.0","659.0"
"261.0","659.0"
"260.0","659.0"
"259.0","659.0"
"258.0","659.0"
"257.0","659.0"
"256.0","659.0"
"255.0","659.0"
"254.0","659.0"
"253.0","659.0"
"252.0","659.0"
"251.0","659.0"
"250.0","659.0"
"249.0","659.0"
"248.0","659.0"
"247.0","659.0"
"246.0","659.0"
"245.0","659.0"
"244.0","659.0"
"243.0","659.0"
"242.0","659.0"
"241.0","659.0"
"240.0","659.0"
"239.0","659.0"
"238.0","659.0"
"237.0","659.0"
"236.0","659.0"
"235.0","659.0"
"234.0","658.0"
"233.0","657.0"
"232.0","656.0"
"231.0","655.0"
"230.0","654.0"
"229.0","653.0"
"228.0","652.0"
"227.0","651.0"
"226.0","651.0"
"225.0","651.0"
"224.0","651.0"
"223.0","651.0"
"222.0","651.0"
"221.0","651.0"
"220.0","651.0"
"320.0","651.0"
"319.0","651.0"
"318.0","651.0"
"317.0","651.0"
"316.0","651.0"
"315.0","651.0"
"415.0","651.0"
"414.0","651.0"
"413.0","651.0"
"412.0","651.0"
"411.0","651.0"
"410.0","651.0"
"409.0","651.0"
"408.0","651.0"
"407.0","651.0"
"406.0","651.0"
"405.0","651.0"
"404.0","651.0"
"403.0","651.0"
"402.0","651.0"
"502.0","651.0"
"501.0","651.0"
"500.0","651.0"
"499.0","651.0"
"498.0","651.0"
"497.0","651.0"
"496.0","651.0"
"495.0","651.0"
"494.0","651.0"
"493.0","651.0"
"492.0","650.0"
"491.0","649.0"
"490.0","649.0"
"489.0","649.0"
"488.0","649.0"
"487.0","649.0"
"486.0","649.0"
"485.0","649.0"
"484.0","649.0"
"483.0","649.0"
"482.0","649.0"
"481.0","649.0"
"480.0","649.0"
"479.0","649.0"
"478.0","649.0"
"477.0","649.0"
"476.0","649.0"
"475.0","649.0"
"474.0","649.0"
"473.0","649.0"
"472.0","649.0"
"471.0","649.0"
"470.0","649.0"
"469.0","649.0"
"569.0","649.0"
"568.0","649.0"
"567.0","649.0"
"566.0","649.0"
"565.0","648.0"
"564.0","647.0"
"563.0","646.0"
"562.0","645.0"
"561.0","644.0"
"560.0","643.0"
"660.0","642.0"
"760.0","641.0"
"759.0","640.0"
"758.0","639.0"
"757.0","638.0"
"756.0","637.0"
"755.0","636.0"
"754.0","635.0"
"753.0","634.0"
"752.0","633.0"
"751.0","632.0"
"750.0","631.0"
"749.0","630.0"
"748.0","629.0"
"747.0","628.0"
"746.0","627.0"
"745.0","626.0"
"744.0","625.0"
"743.0","624.0"
"742.0","623.0"
"741.0","622.0"
"740.0","621.0"
"739.0","620.0"
"738.0","619.0"
"737.0","618.0"
"736.0","617.0"
"735.0","616.0"
"734.0","615.0"
"733.0","614.0"
"732.0","613.0"
"731.0","612.0"
"730.0","611.0"
"729.0","610.0"
"728.0","609.0"
"727.0","608.0"
"726.0","607.0"
"725.0","606.0"
"724.0","605.0"
"723.0","604.0"
"722.0","603.0"
"721.0","602.0"
"720.0","601.0"
"719.0","600.0"
"718.0","599.0"
"717.0","598.0"
"716.0","597.0"
"715.0","596.0"
"714.0","595.0"
"713.0","594.0"
"712.0","593.0"
"711.0","592.0"
"710.0","591.0"
"709.0","590.0"
"708.0","589.0"
"707.0","588.0"
"706.0","587.0"
"705.0","586.0"
"704.0","585.0"
"703.0","584.0"
"702.0","583.0"
"701.0","582.0"
"700.0","581.0"
"699.0","580.0"
"698.0","579.0"
"697.0","579.0"
"696.0","579.0"
"695.0","578.0"
"694.0","578.0"
"693.0","578.0"
"692.0","577.0"
"691.0","576.0"
"690.0","575.0"
"689.0","574.0"
"688.0","573.0"
"687.0","572.0"
"686.0","571.0"
"685.0","570.0"
"684.0","569.0"
"683.0","568.0"
"682.0","567.0"
"681.0","566.0"
"680.0","565.0"
"679.0","564.0"
"678.0","563.0"
"677.0","562.0"
"676.0","561.0"
"675.0","560.0"
"674.0","559.0"
"673.0","558.0"
"672.0","557.0"
"671.0","556.0"
"670.0","555.0"
"669.0","554.0"
"668.0","553.0"
"667.0","552.0"
"666.0","551.0"
"665.0","550.0"
"664.0","549.0"
"663.0","548.0"
"662.0","547.0"
"661.0","546.0"
"660.0","545.0"
"659.0","544.0"
"658.0","543.0"
"657.0","542.0"
"656.0","541.0"
"655.0","540.0"
"654.0","539.0"
"653.0","538.0"
"652.0","537.0"
"651.0","536.0"
"650.0","535.0"
"649.0","534.0"
"648.0","533.0"
"647.0","532.0"
"646.0","531.0"
"645.0","530.0"
"644.0","529.0"
"643.0","528.0"
"642.0","527.0"
"641.0","526.0"
"640.0","525.0"
"639.0","524.0"
"638.0","523.0"
"637.0","523.0"
"636.0","523.0"
"635.0","523.0"
"634.0","523.0"
"633.0","523.0"
"632.0","522.0"
"631.0","521.0"
"630.0","521.0"
"629.0","520.0"
"628.0","519.0"
"627.0","518.0"
"626.0","517.0"
"625.0","516.0"
"624.0","515.0"
"623.0","514.0"
"622.0","513.0"
"621.0","512.0"
"620.0","511.0"
"619.0","510.0"
"618.0","509.0"
"617.0","508.0"
"616.0","507.0"
"615.0","506.0"
"614.0","505.0"
"613.0","504.0"
"612.0","503.0"
"611.0","502.0"
"610.0","501.0"
"609.0","500.0"
"608.0","499.0"
"607.0","498.0"
"606.0","497.0"
"605.0","496.0"
"604.0","495.0"
"603.0","494.0"
"602.0","493.0"
"601.0","492.0"
"600.0","491.0"
"599.0","490.0"
"598.0","489.0"
"597.0","488.0"
"596.0","487.0"
"595.0","486.0"
"594.0","485.0"
"593.0","484.0"
"592.0","483.0"
"591.0","482.0"
"590.0","481.0"
"589.0","480.0"
"588.0","479.0"
"587.0","478.0"
"586.0","477.0"
"585.0","476.0"
"584.0","475.0"
"583.0","474.0"
"582.0","473.0"
"581.0","472.0"
"580.0","471.0"
"579.0","470.0"
"578.0","469.0"
"577.0","468.0"
"576.0","467.0"
"575.0","466.0"
"574.0","465.0"
"573.0","464.0"
"572.0","463.0"
"571.0","462.0"
"570.0","461.0"
"569.0","460.0"
"568.0","459.0"
"567.0","458.0"
"566.0","457.0"
"565.0","456.0"
"564.0","455.0"
"563.0","454.0"
"562.0","453.0"
"561.0","452.0"
"560.0","452.0"
"559.0","452.0"
"558.0","452.0"
"557.0","452.0"
"556.0","452.0"
"555.0","452.0"
"554.0","452.0"
"553.0","452.0"
"552.0","452.0"
"551.0","452.0"
"550.0","452.0"
"549.0","452.0"
"548.0","451.0"
"547.0","450.0"
"546.0","449.0"
"545.0","448.0"
"544.0","447.0"
"543.0","446.0"
"542.0","445.0"
"541.0","444.0"
"540.0","443.0"
"539.0","442.0"
"538.0","441.0"
"537.0","440.0"
"536.0","440.0"
"535.0","439.0"
"534.0","438.0"
"533.0","437.0"
"532.0","436.0"
"531.0","435.0"
"530.0","434.0"
"529.0","433.0"
"528.0","432.0"
"527.0","431.0"
"526.0","430.0"
"525.0","429.0"
"524.0","428.0"
"523.0","427.0"
"522.0","426.0"
"521.0","425.0"
"520.0","424.0"
"519.0","423.0"
"518.0","422.0"
"517.0","421.0"
"516.0","420.0"
"515.0","419.0"
"514.0","418.0"
"513.0","417.0"
"512.0","416.0"
"511.0","415.0"
"510.0","414.0"
"509.0","413.0"
"508.0","412.0"
"507.0","411.0"
"506.0","410.0"
"505.0","409.0"
"504.0","408.0"
"503.0","407.0"
"502.0","406.0"
"501.0","405.0"
"500.0","404.0"
"499.0","403.0"
"498.0","402.0"
"497.0","401.0"
"496.0","400.0"
"495.0","399.0"
"494.0","398.0"
"493.0","397.0"
"492.0","396.0"
"491.0","395.0"
"490.0","394.0"
"489.0","393.0"
"488.0","392.0"
"487.0","391.0"
"486.0","390.0"
"485.0","389.0"
"484.0","388.0"
"483.0","387.0"
"482.0","386.0"
"481.0","385.0"
"480.0","384.0"
"479.0","383.0"
"478.0","382.0"
"477.0","381.0"
"476.0","380.0"
"475.0","379.0"
"474.0","378.0"
"473.0","377.0"
"472.0","377.0"
"471.0","377.0"
"470.0","377.0"
"469.0","377.0"
"468.0","377.0"
"467.0","377.0"
"466.0","377.0"
"465.0","377.0"
"464.0","377.0"
"463.0","377.0"
"462.0","377.0"
"461.0","377.0"
"460.0","377.0"
"459.0","376.0"
"458.0","375.0"
"457.0","374.0"
"456.0","373.0"
"455.0","372.0"
"454.0","371.0"
"453.0","371.0"
"452.0","371.0"
"451.0","371.0"
"450.0","370.0"
"449.0","369.0"
"448.0","368.0"
"447.0","367.0"
"446.0","366.0"
"445.0","365.0"
"444.0","364.0"
"443.0","364.0"
"442.0","363.0"
"441.0","362.0"
"440.0","361.0"
"439.0","360.0"
"438.0","359.0"
"437.0","359.0"
"436.0","359.0"
"435.0","359.0"
"434.0","359.0"
"433.0","359.0"
"432.0","359.0"
"431.0","359.0"
"430.0","359.0"
"429.0","359.0"
"428.0","359.0"
"427.0","359.0"
"426.0","359.0"
"425.0","359.0"
"424.0","359.0"
"423.0","359.0"
"422.0","359.0"
"421.0","359.0"
"420.0","359.0"
"419.0","359.0"
"418.0","359.0"
"417.0","359.0"
"416.0","359.0"
"415.0","359.0"
"414.0","359.0"
"413.0","359.0"
"412.0","359.0"
"411.0","359.0"
"410.0","359.0"
"409.0","359.0"
"408.0","359.0"
"407.0","359.0"
"406.0","359.0"
"405.0","359.0"
"404.0","359.0"
"403.0","359.0"
"402.0","359.0"
"401.0","359.0"
"400.0","359.0"
"399.0","359.0"
"398.0","359.0"
"397.0","359.0"
"396.0","359.0"
"395.0","359.0"
"394.0","359.0"
"393.0","359.0"
"392.0","359.0"
"391.0","359.0"
"390.0","359.0"
"389.0","359.0"
"388.0","359.0"
"387.0","359.0"
"386.0","359.0"
"385.0","359.0"
"384.0","359.0"
"383.0","359.0"
"382.0","359.0"
"381.0","359.0"
"380.0","359.0"
"379.0","359.0"
"378.0","359.0"
"377.0","359.0"
"376.0","359.0"
"375.0","359.0"
"374.0","359.0"
"373.0","359.0"
"372.0","358.0"
"371.0","357.0"
"370.0","356.0"
"369.0","355.0"
"368.0","354.0"
"367.0","353.0"
"366.0","353.0"
"365.0","352.0"
"364.0","351.0"
"363.0","350.0"
"362.0","349.0"
"361.0","349.0"
"360.0","349.0"
"359.0","349.0"
"358.0","349.0"
"357.0","349.0"
"356.0","349.0"
"355.0","348.0"
"354.0","347.0"
"353.0","346.0"
"352.0","345.0"
"351.0","344.0"
"350.0","343.0"
"349.0","342.0"
"348.0","341.0"
"347.0","340.0"
"346.0","339.0"
"345.0","339.0"
"344.0","339.0"
"343.0","339.0"
"342.0","339.0"
"341.0","339.0"
"340.0","339.0"
"339.0","339.0"
"338.0","339.0"
"337.0","339.0"
"336.0","339.0"
"335.0","339.0"
"334.0","339.0"
"333.0","339.0"
"332.0","339.0"
"331.0","339.0"
"330.0","339.0"
"329.0","339.0"
"328.0","339.0"
"327.0","339.0"
"326.0","339.0"
"325.0","439.0"
"324.0","438.0"
"323.0","437.0"
"322.0","436.0"
"321.0","435.0"
"320.0","434.0"
"319.0","433.0"
"318.0","432.0"
"317.0","431.0"
"316.0","531.0"
"315.0","530.0"
"314.0","529.0"
"313.0","528.0"
"312.0","628.0"
"311.0","627.0"
"310.0","626.0"
"309.0","625.0"
"308.0","624.0"
"307.0","623.0"
"306.0","622.0"
"305.0","621.0"
"304.0","620.0"
"303.0","619.0"
"302.0","618.0"
"301.0","617.0"
"300.0","616.0"
"299.0","615.0"
"298.0","614.0"
"297.0","613.0"
"296.0","612.0"
"295.0","712.0"
"294.0","711.0"
"293.0","710.0"
"292.0","709.0"
"291.0","708.0"
"290.0","708.0"
"289.0","707.0"
"288.0","706.0"
"287.0","705.0"
"286.0","704.0"
"285.0","703.0"
"284.0","702.0"
"283.0","701.0"
"282.0","701.0"
"281.0","700.0"
"280.0","699.0"
"279.0","698.0"
"278.0","697.0"
"277.0","696.0"
"276.0","696.0"
"275.0","696.0"
"274.0","696.0"
"273.0","696.0"
"272.0","696.0"
"271.0","696.0"
"270.0","696.0"
"269.0","695.0"
"268.0","694.0"
"267.0","693.0"
"266.0","692.0"
"265.0","691.0"
"264.0","690.0"
"263.0","689.0"
"262.0","689.0"
"261.0","689.0"
"260.0","689.0"
"259.0","689.0"
"258.0","689.0"
"257.0","689.0"
"256.0","689.0"
"255.0","689.0"
"254.0","689.0"
"253.0","689.0"
"252.0","689.0"
"251.0","689.0"
"250.0","688.0"
"249.0","687.0"
"248.0","686.0"
"247.0","685.0"
"246.0","685.0"
"245.0","684.0"
"244.0","683.0"
"243.0","682.0"
"242.0","681.0"
"241.0","680.0"
"240.0","679.0"
"239.0","678.0"
"238.0","677.0"
"237.0","676.0"
"236.0","675.0"
"235.0","775.0"
"234.0","774.0"
"233.0","773.0"
"232.0","772.0"
"231.0","771.0"
"230.0","770.0"
"229.0","769.0"
"228.0","768.0"
"227.0","868.0"
"226.0","867.0"
"225.0","866.0"
"224.0","966.0"
"223.0","965.0"
"222.0","1065.0"
"221.0","1064.0"
"220.0","1064.0"
"219.0","1063.0"
"218.0","1063.0"
"217.0","1063.0"
"216.0","1063.0"
"215.0","1063.0"
"214.0","1063.0"
"213.0","1063.0"
"212.0","1063.0"
"211.0","1063.0"
"210.0","1063.0"
"209.0","1063.0"
"208.0","1063.0"
"207.0","1063.0"
"206.0","1063.0"
"205.0","1063.0"
"204.0","1063.0"
"203.0","1063.0"
"202.0","1062.0"
"201.0","1062.0"
"200.0","1162.0"
"199.0","1262.0"
"198.0","1261.0"
"197.0","1260.0"
"196.0","1260.0"
"195.0","1260.0"
"194.0","1360.0"
"193.0","1359.0"
"192.0","1358.0"
"191.0","1357.0"
"190.0","1457.0"
"189.0","1457.0"
"188.0","1457.0"
"187.0","1457.0"
"186.0","1457.0"
"185.0","1457.0"
"184.0","1456.0"
"183.0","1455.0"
"182.0","1454.0"
"181.0","1453.0"
"180.0","1452.0"
"179.0","1451.0"
"178.0","1450.0"
"177.0","1449.0"
"176.0","1448.0"
"175.0","1447.0"
"174.0","1446.0"
"173.0","1445.0"
"172.0","1444.0"
"171.0","1443.0"
"170.0","1442.0"
"169.0","1542.0"
"168.0","1541.0"
"167.0","1540.0"
"166.0","1539.0"
"165.0","1538.0"
"164.0","1537.0"
"163.0","1637.0"
"162.0","1636.0"
"161.0","1635.0"
"160.0","1634.0"
"159.0","1633.0"
"158.0","1632.0"
"157.0","1631.0"
"156.0","1630.0"
"155.0","1629.0"
"154.0","1729.0"
"153.0","1728.0"
"152.0","1727.0"
"151.0","1726.0"
"150.0","1725.0"
"149.0","1825.0"
"148.0","1824.0"
"147.0","1924.0"
"146.0","1923.0"
"145.0","1922.0"
"144.0","1921.0"
"143.0","1920.0"
"142.0","2020.0"
"141.0","2019.0"
"140.0","2019.0"
"139.0","2019.0"
"138.0","2019.0"
"137.0","2019.0"
"136.0","2019.0"
"135.0","2019.0"
"134.0","2019.0"
"133.0","2019.0"
"132.0","2019.0"
"131.0","2019.0"
"130.0","2019.0"
"129.0","2019.0"
"128.0","2019.0"
"127.0","2019.0"
"126.0","2018.0"
"125.0","2017.0"
"124.0","2016.0"
"123.0","2015.0"
"122.0","2014.0"
"121.0","2013.0"
"120.0","2013.0"
"119.0","2013.0"
"118.0","2012.0"
"117.0","2011.0"
"116.0","2010.0"
"115.0","2009.0"
"114.0","2008.0"
"113.0","2007.0"
"112.0","2006.0"
"111.0","2005.0"
"110.0","2004.0"
"109.0","2104.0"
"108.0","2103.0"
"107.0","2102.0"
"106.0","2101.0"
"105.0","2100.0"
"104.0","2200.0"
"103.0","2199.0"
"102.0","2198.0"
"101.0","2197.0"
"100.0","2196.0"
"99.0","2195.0"
"98.0","2295.0"
"97.0","2294.0"
"96.0","2293.0"
"95.0","2292.0"
"94.0","2291.0"
"93.0","2290.0"
"92.0","2289.0"
"91.0","2389.0"
"90.0","2388.0"
"89.0","2388.0"
"88.0","2388.0"
"87.0","2388.0"
"86.0","2387.0"
"85.0","2386.0"
"84.0","2386.0"
"83.0","2386.0"
"82.0","2385.0"
"81.0","2385.0"
"80.0","2385.0"
"79.0","2385.0"
"78.0","2385.0"
"77.0","2385.0"
"76.0","2385.0"
"75.0","2485.0"
"74.0","2485.0"
"73.0","2585.0"
"72.0","2585.0"
"71.0","2685.0"
"70.0","2685.0"
"69.0","2685.0"
"68.0","2685.0"
"67.0","2685.0"
"66.0","2685.0"
"65.0","2785.0"
"64.0","2785.0"
"63.0","2785.0"
"62.0","2785.0"
"61.0","2885.0"
"60.0","2885.0"
"59.0","2884.0"
"58.0","2883.0"
"57.0","2983.0"
"56.0","2982.0"
"55.0","2981.0"
"54.0","2980.0"
"53.0","3080.0"
"52.0","3079.0"
"51.0","3078.0"
"50.0","3178.0"
"49.0","3178.0"
"48.0","3177.0"
"47.0","3176.0"
"46.0","3276.0"
"45.0","3275.0"
"44.0","3274.0"
"43.0","3273.0"
"42.0","3272.0"
"41.0","3271.0"
"40.0","3270.0"
"39.0","3269.0"
"38.0","3268.0"
"37.0","3368.0"
"36.0","3367.0"
"35.0","3366.0"
"34.0","3365.0"
"33.0","3465.0"
"32.0","3464.0"
"31.0","3463.0"
"30.0","3462.0"
"29.0","3461.0"
"28.0","3561.0"
"27.0","3560.0"
"26.0","3559.0"
"25.0","3558.0"
"24.0","3557.0"
"23.0","3556.0"
"22.0","3555.0"
"21.0","3554.0"
"20.0","3554.0"
"19.0","3554.0"
"18.0","3554.0"
"17.0","3554.0"
"16.0","3554.0"
"15.0","3554.0"
"14.0","3554.0"
"13.0","3554.0"
"12.0","3554.0"
"11.0","3554.0"
"10.0","3554.0"
"9.0","3554.0"
"8.0","3554.0"
"7.0","3553.0"
"6.0","3552.0"
"5.0","3551.0"
"4.0","3550.0"
"3.0","3549.0"
"2.0","3548.0"
"1.0","3547.0"
"0.0","3647.0"
"-1.0","3646.0"
"-2.0","3645.0"
"-3.0","3644.0"
"-4.0","3643.0"
"-5.0","3642.0"
"-6.0","3641.0"
"-7.0","3640.0"
"-8.0","3639.0"
"-9.0","3639.0"
"-10.0","3639.0"
"-11.0","3639.0"
"-12.0","3638.0"
"-13.0","3637.0"
"-14.0","3636.0"
"-15.0","3635.0"
"-16.0","3635.0"
"-17.0","3635.0"
"-18.0","3635.0"
"-19.0","3635.0"
"-20.0","3635.0"
"-21.0","3635.0"
"-22.0","3635.0"
"-23.0","3635.0"
"-24.0","3635.0"
"-25.0","3635.0"
"-26.0","3635.0"
"-27.0","3635.0"
"-28.0","3635.0"
"-29.0","3635.0"
"-30.0","3635.0"
"-31.0","3635.0"
"-32.0","3635.0"
"-33.0","3635.0"
"-34.0","3635.0"
"-35.0","3635.0"
"-36.0","3635.0"
"-37.0","3635.0"
"-38.0","3635.0"
