Deep Learning Agent (136),Deep Learning Agent (136)
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
160.0,-105.0
159.0,-106.0
158.0,-107.0
157.0,-108.0
156.0,-109.0
155.0,-110.0
155.0,-110.0
155.0,-110.0
155.0,-110.0
155.0,-110.0
155.0,-110.0
155.0,-110.0
155.0,-110.0
154.0,-10.0
153.0,-11.0
152.0,-12.0
151.0,-13.0
150.0,-14.0
149.0,-15.0
148.0,-16.0
147.0,-17.0
146.0,-18.0
145.0,82.0
144.0,81.0
143.0,80.0
142.0,79.0
141.0,78.0
140.0,77.0
139.0,76.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
138.0,75.0
137.0,74.0
137.0,74.0
136.0,73.0
135.0,72.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
134.0,71.0
133.0,70.0
132.0,69.0
131.0,68.0
130.0,67.0
129.0,66.0
128.0,65.0
127.0,64.0
126.0,63.0
125.0,62.0
124.0,61.0
123.0,60.0
122.0,59.0
121.0,58.0
120.0,57.0
119.0,56.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
118.0,55.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
117.0,54.0
116.0,53.0
115.0,52.0
114.0,51.0
113.0,50.0
112.0,49.0
111.0,48.0
110.0,47.0
109.0,46.0
108.0,45.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
107.0,44.0
106.0,43.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
105.0,42.0
