"Deep Learning Agent (136)","Deep Learning Agent (136)"
"0.0","-1.0"
"-1.0","-2.0"
"-2.0","-3.0"
"-3.0","-4.0"
"-3.0","-5.0"
"-3.0","-6.0"
"-3.0","-7.0"
"-3.0","93.0"
"-3.0","92.0"
"-3.0","91.0"
"-4.0","90.0"
"-5.0","89.0"
"-6.0","89.0"
"-6.0","89.0"
"-6.0","89.0"
"-6.0","89.0"
"-7.0","89.0"
"-8.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","89.0"
"-9.0","88.0"
"-9.0","87.0"
"-9.0","86.0"
"-9.0","85.0"
"-9.0","84.0"
"-9.0","83.0"
"-9.0","82.0"
"-9.0","81.0"
"-9.0","80.0"
"-9.0","79.0"
"-9.0","78.0"
"-9.0","77.0"
"-9.0","76.0"
"-9.0","75.0"
"-9.0","74.0"
"-9.0","73.0"
"-9.0","72.0"
"-9.0","72.0"
"-9.0","72.0"
"-9.0","72.0"
"-9.0","72.0"
"-10.0","72.0"
"-11.0","72.0"
"-12.0","72.0"
"-13.0","72.0"
"-14.0","72.0"
"-15.0","72.0"
"-16.0","72.0"
"-17.0","72.0"
"-18.0","72.0"
"-19.0","72.0"
"-19.0","72.0"
"-19.0","72.0"
"-19.0","72.0"
"-19.0","72.0"
"-19.0","72.0"
"-19.0","71.0"
"-19.0","70.0"
"-19.0","69.0"
"-19.0","68.0"
"-19.0","168.0"
"-19.0","167.0"
"-19.0","166.0"
"-19.0","165.0"
"-19.0","164.0"
"-19.0","163.0"
"-19.0","162.0"
"-19.0","161.0"
"-19.0","160.0"
"-19.0","159.0"
"-19.0","158.0"
"-19.0","157.0"
"-20.0","156.0"
"-21.0","155.0"
"-22.0","154.0"
"-23.0","153.0"
"-24.0","152.0"
"-25.0","151.0"
"-26.0","150.0"
"-27.0","149.0"
"-28.0","148.0"
"-29.0","147.0"
"-30.0","146.0"
"-31.0","145.0"
"-32.0","144.0"
"-33.0","143.0"
"-34.0","142.0"
"-35.0","141.0"
"-36.0","140.0"
"-37.0","139.0"
"-37.0","138.0"
"-37.0","137.0"
"-37.0","136.0"
"-37.0","135.0"
"-37.0","134.0"
"-37.0","133.0"
"-37.0","132.0"
"-37.0","131.0"
"-37.0","130.0"
"-37.0","129.0"
"-37.0","128.0"
"-37.0","127.0"
"-37.0","227.0"
"-37.0","226.0"
"-37.0","225.0"
"-37.0","224.0"
"-37.0","223.0"
"-37.0","222.0"
"-37.0","221.0"
"-37.0","220.0"
"-37.0","219.0"
"-37.0","218.0"
"-37.0","217.0"
"-37.0","216.0"
"-37.0","215.0"
"-37.0","214.0"
"-37.0","213.0"
"-37.0","212.0"
"-37.0","211.0"
"-37.0","210.0"
"-37.0","209.0"
"-37.0","208.0"
"-37.0","308.0"
"-37.0","307.0"
"-37.0","306.0"
"-37.0","305.0"
"-37.0","304.0"
"-37.0","303.0"
"-37.0","302.0"
"-37.0","301.0"
"-37.0","300.0"
"-37.0","299.0"
"-37.0","298.0"
"-37.0","297.0"
"-37.0","296.0"
"-38.0","295.0"
"-38.0","294.0"
"-38.0","293.0"
"-38.0","292.0"
"-38.0","291.0"
"-38.0","290.0"
"-38.0","289.0"
"-38.0","288.0"
"-38.0","287.0"
"-38.0","286.0"
"-38.0","285.0"
"-38.0","284.0"
"-38.0","283.0"
"-38.0","282.0"
"-38.0","281.0"
"-38.0","280.0"
"-38.0","279.0"
"-38.0","278.0"
"-38.0","277.0"
"-38.0","276.0"
"-38.0","275.0"
"-38.0","274.0"
"-38.0","273.0"
"-38.0","272.0"
"-38.0","271.0"
"-38.0","270.0"
"-38.0","269.0"
"-38.0","268.0"
"-38.0","267.0"
"-38.0","266.0"
"-38.0","265.0"
"-38.0","265.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","264.0"
"-38.0","263.0"
"-38.0","262.0"
"-38.0","261.0"
"-38.0","260.0"
"-39.0","259.0"
"-40.0","258.0"
"-41.0","257.0"
"-41.0","256.0"
"-42.0","255.0"
"-43.0","254.0"
"-44.0","253.0"
"-45.0","252.0"
"-46.0","251.0"
"-47.0","250.0"
"-48.0","249.0"
"-49.0","248.0"
"-50.0","247.0"
"-51.0","247.0"
"-52.0","247.0"
"-53.0","247.0"
"-54.0","247.0"
"-55.0","247.0"
"-56.0","247.0"
"-57.0","247.0"
"-58.0","247.0"
"-59.0","247.0"
"-60.0","246.0"
"-61.0","245.0"
"-62.0","244.0"
"-63.0","243.0"
"-64.0","242.0"
"-64.0","241.0"
"-65.0","240.0"
"-66.0","239.0"
"-67.0","238.0"
"-68.0","237.0"
"-69.0","236.0"
"-70.0","235.0"
"-70.0","234.0"
"-70.0","233.0"
"-70.0","232.0"
"-70.0","231.0"
"-71.0","230.0"
"-72.0","229.0"
"-73.0","228.0"
"-74.0","227.0"
"-75.0","226.0"
"-76.0","225.0"
"-77.0","224.0"
"-78.0","223.0"
"-79.0","222.0"
"-79.0","221.0"
"-80.0","220.0"
"-81.0","219.0"
"-81.0","218.0"
"-81.0","217.0"
"-81.0","216.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-81.0","215.0"
"-82.0","215.0"
"-83.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-84.0","215.0"
"-85.0","215.0"
"-86.0","215.0"
"-87.0","215.0"
"-88.0","215.0"
"-89.0","215.0"
"-90.0","215.0"
"-91.0","215.0"
"-92.0","214.0"
"-93.0","214.0"
"-94.0","214.0"
"-95.0","214.0"
"-96.0","214.0"
"-96.0","213.0"
"-97.0","213.0"
"-97.0","213.0"
"-98.0","213.0"
"-99.0","212.0"
"-100.0","211.0"
"-100.0","210.0"
"-100.0","210.0"
"-100.0","210.0"
"-100.0","210.0"
"-100.0","210.0"
"-100.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","210.0"
"-101.0","209.0"
"-101.0","208.0"
"-101.0","207.0"
"-102.0","206.0"
"-103.0","205.0"
"-104.0","204.0"
"-104.0","203.0"
"-104.0","202.0"
"-104.0","201.0"
"-104.0","200.0"
"-105.0","199.0"
"-106.0","198.0"
"-107.0","197.0"
"-108.0","196.0"
"-109.0","195.0"
"-110.0","194.0"
"-111.0","193.0"
"-111.0","192.0"
"-111.0","191.0"
"-111.0","190.0"
"-111.0","189.0"
"-111.0","188.0"
"-111.0","187.0"
"-111.0","187.0"
"-111.0","187.0"
"-111.0","186.0"
"-111.0","185.0"
"-111.0","184.0"
"-111.0","183.0"
"-111.0","182.0"
"-111.0","181.0"
"-111.0","180.0"
"-111.0","179.0"
"-111.0","178.0"
"-111.0","177.0"
"-111.0","176.0"
"-111.0","175.0"
"-111.0","174.0"
"-111.0","173.0"
"-111.0","172.0"
"-111.0","171.0"
"-111.0","170.0"
"-111.0","169.0"
"-111.0","168.0"
"-111.0","167.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","166.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","165.0"
"-111.0","164.0"
"-111.0","264.0"
"-111.0","263.0"
"-111.0","263.0"
"-111.0","263.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","363.0"
"-111.0","362.0"
"-111.0","361.0"
"-111.0","360.0"
"-111.0","359.0"
"-111.0","358.0"
"-111.0","357.0"
"-111.0","356.0"
"-111.0","355.0"
"-111.0","354.0"
"-111.0","353.0"
"-111.0","352.0"
"-111.0","351.0"
"-111.0","350.0"
"-111.0","349.0"
"-111.0","348.0"
"-111.0","347.0"
"-111.0","346.0"
"-111.0","345.0"
"-111.0","344.0"
"-111.0","343.0"
"-111.0","342.0"
"-111.0","341.0"
"-111.0","340.0"
"-111.0","339.0"
"-111.0","338.0"
"-111.0","337.0"
"-111.0","336.0"
"-111.0","335.0"
"-111.0","334.0"
"-111.0","434.0"
